index	label	hemisphere	structure   atlas_name
0   n/a n/a n/a DesikanKilliany
1	bankssts	L	cortex  DesikanKilliany
2	caudalanteriorcingulate	L	cortex  DesikanKilliany
3	caudalmiddlefrontal	L	cortex  DesikanKilliany
4	cuneus	L	cortex  DesikanKilliany
5	entorhinal	L	cortex  DesikanKilliany
6	fusiform	L	cortex  DesikanKilliany
7	inferiorparietal	L	cortex  DesikanKilliany
8	inferiortemporal	L	cortex  DesikanKilliany
9	isthmuscingulate	L	cortex  DesikanKilliany
10	lateraloccipital	L	cortex  DesikanKilliany
11	lateralorbitofrontal	L	cortex  DesikanKilliany
12	lingual	L	cortex  DesikanKilliany
13	medialorbitofrontal	L	cortex  DesikanKilliany
14	middletemporal	L	cortex  DesikanKilliany
15	parahippocampal	L	cortex  DesikanKilliany
16	paracentral	L	cortex  DesikanKilliany
17	parsopercularis	L	cortex  DesikanKilliany
18	parsorbitalis	L	cortex  DesikanKilliany
19	parstriangularis	L	cortex  DesikanKilliany
20	pericalcarine	L	cortex  DesikanKilliany
21	postcentral	L	cortex  DesikanKilliany
22	posteriorcingulate	L	cortex  DesikanKilliany
23	precentral	L	cortex  DesikanKilliany
24	precuneus	L	cortex  DesikanKilliany
25	rostralanteriorcingulate	L	cortex  DesikanKilliany
26	rostralmiddlefrontal	L	cortex  DesikanKilliany
27	superiorfrontal	L	cortex  DesikanKilliany
28	superiorparietal	L	cortex  DesikanKilliany
29	superiortemporal	L	cortex  DesikanKilliany
30	supramarginal	L	cortex  DesikanKilliany
31	frontalpole	L	cortex  DesikanKilliany
32	temporalpole	L	cortex  DesikanKilliany
33	transversetemporal	L	cortex  DesikanKilliany
34	insula	L	cortex  DesikanKilliany
35	thalamusproper	L	subcortex/brainstem DesikanKilliany
36	caudate	L	subcortex/brainstem DesikanKilliany
37	putamen	L	subcortex/brainstem DesikanKilliany
38	pallidum	L	subcortex/brainstem DesikanKilliany
39	accumbensarea	L	subcortex/brainstem DesikanKilliany
40	hippocampus	L	subcortex/brainstem DesikanKilliany
41	amygdala	L	subcortex/brainstem DesikanKilliany
42	bankssts	R	cortex  DesikanKilliany
43	caudalanteriorcingulate	R	cortex  DesikanKilliany
44	caudalmiddlefrontal	R	cortex  DesikanKilliany
45	cuneus	R	cortex  DesikanKilliany
46	entorhinal	R	cortex  DesikanKilliany
47	fusiform	R	cortex  DesikanKilliany
48	inferiorparietal	R	cortex  DesikanKilliany
49	inferiortemporal	R	cortex  DesikanKilliany
50	isthmuscingulate	R	cortex  DesikanKilliany
51	lateraloccipital	R	cortex  DesikanKilliany
52	lateralorbitofrontal	R	cortex  DesikanKilliany
53	lingual	R	cortex  DesikanKilliany
54	medialorbitofrontal	R	cortex  DesikanKilliany
55	middletemporal	R	cortex  DesikanKilliany
56	parahippocampal	R	cortex  DesikanKilliany
57	paracentral	R	cortex  DesikanKilliany
58	parsopercularis	R	cortex  DesikanKilliany
59	parsorbitalis	R	cortex  DesikanKilliany
60	parstriangularis	R	cortex  DesikanKilliany
61	pericalcarine	R	cortex  DesikanKilliany
62	postcentral	R	cortex  DesikanKilliany
63	posteriorcingulate	R	cortex  DesikanKilliany
64	precentral	R	cortex  DesikanKilliany
65	precuneus	R	cortex  DesikanKilliany
66	rostralanteriorcingulate	R	cortex  DesikanKilliany
67	rostralmiddlefrontal	R	cortex  DesikanKilliany
68	superiorfrontal	R	cortex  DesikanKilliany
69	superiorparietal	R	cortex  DesikanKilliany
70	superiortemporal	R	cortex  DesikanKilliany
71	supramarginal	R	cortex  DesikanKilliany
72	frontalpole	R	cortex  DesikanKilliany
73	temporalpole	R	cortex  DesikanKilliany
74	transversetemporal	R	cortex  DesikanKilliany
75	insula	R	cortex  DesikanKilliany
76	thalamusproper	R	subcortex/brainstem DesikanKilliany
77	caudate	R	subcortex/brainstem DesikanKilliany
78	putamen	R	subcortex/brainstem DesikanKilliany
79	pallidum	R	subcortex/brainstem DesikanKilliany
80	accumbensarea	R	subcortex/brainstem DesikanKilliany
81	hippocampus	R	subcortex/brainstem DesikanKilliany
82	amygdala	R	subcortex/brainstem DesikanKilliany
83	brainstem	B	subcortex/brainstem DesikanKilliany
